site;code;codereg;nomreg;nom;longitude;latitude;eeprot;eea;eeprev;eecwns;eensp;eet;eetow;eiir;ehe;ehns;rcm_collected;rcm_distributed;pcrcmphc;pcnpitm;pcnpoiflw;pcprwtf;pcprwtfowu;pcumcsbhbi;pcptr;pchrtr;pcpltccp;pcptwtdwi;rcmcoll;acesces;acesfc;acesehi;acespi;acesc;acesv;aceswst;acphcs;acpacp;acpc;acpi;acwwha;apppdotf;appfc;appehi;appwha;ppdv;ppdvami;ppdvamiw;ppdvamim;ppdnr;ppdnrw;ppdnrm;ppnovco;ppnopdv;pprcmcoll;pprcmdist;pppcmtit;ppdvbtrwi;ppdratvi;ppptwadawi;awwhs;awwhswpd;awwa;awwaow;awwfps;awwfpswpd;awwapt;awwcs;awwprs;awwnpfwp;awwnpfwo;awwpd;awwod;awwnprp
POA;DEL_HT;EURAM;Europe and the Americas;Haiti;-72.29284253;18.53102565;1149.49286;2911.37827;531.75525;759.4341;-;5352.06048;320.72216;98;8;72;0;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;240000;36589;-;36589;4589;6326;-;-;-;-;-;-;47;12;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MEX;REG_MEX;EURAM;Europe and the Americas;Mexico City (regional);-99.19900014;19.43455014;4369.22609;1238.61182;2259.60486;856.2715;-;8723.71427;532.43316;86;18;60;3;3;6271;-;-;143;143;2;-;-;1;-;3;0;0;0;0;0;0;0;5;-;14214;-;1231;44;22;44;-;13379;38;1;-;11;-;-;31;21;3;-;-;33;-;1;0;0;0;0;0;0;0;4;5661;106;303;157;443;247
BIK;DEL_KG;EURAM;Europe and the Americas;Kyrgyzstan;74.59949595;42.86741251;1359.84572;5351.57752;749.17384;618.85877;-;8079.45585;493.11223;75;21;87;2;1;-;-;-;-;-;-;-;-;7;119;2;1000;-;1000;-;-;-;-;0;0;0;0;57162;-;-;2207;3131;8000;157;7;3;31;3;2;100;43;6;1;3;57;-;-;5;-;-;-;16;-;16;0;0;0;0;0;0;0
EUR;REG_EUR;EURAM;Europe and the Americas;Europe (regional);7.83664947;52.13540818;1198.04696;-;446.52501;428.87184;-;2073.44381;126.54822;95;7;6;2;29;-;-;-;-;-;-;-;-;-;-;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;667;54;-;-;21;-;-;29;27;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BRU;DEL_BE;EURAM;Europe and the Americas;Brussels;4.36926587;50.84389261;53.25445;-;2151.31374;175.05595;-;2379.62414;145.23528;93;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAR;REG_BAL;EURAM;Europe and the Americas;Western Balkans (regional);18.38742682;43.85313233;2325.99995;-;764.81816;811.72935;-;3902.54746;238.18371;89;5;50;0;1;1;-;11104;-;-;-;1;-;942;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;39;-;-;6;-;-;12;11;-;-;-;-;-;307;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PAR;DEL_FR;EURAM;Europe and the Americas;Paris;2.33231574;48.83916657;69.70892;-;1083.82142;125.31565;-;1278.84599;78.05162;88;1;4;1;1;-;-;-;-;-;-;-;-;-;-;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;-;-;-;-;-;3;3;-;-;3;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
WAS;REG_WAS;EURAM;Europe and the Americas;Washington (regional);-77.0166597;38.92982998;2240.88848;286.54426;3140.44349;551.44396;8.79;6228.11986;380.11997;88;11;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MOS;REG_MOS;EURAM;Europe and the Americas;Moscow (regional);37.617633;55.755786;4663.51858;4527.67561;4321.73056;1106.5969;-;14619.52165;891.40921;98;22;237;24;13;3;-;-;-;-;-;-;-;13;52;24;8564;682;8564;2426;654;-;-;0;0;0;0;2667;292;292;187;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6385;191;-;191;-;0;0;0;0;0;0;0
LIM;REG_LIM;EURAM;Europe and the Americas;Lima (regional);-77.056587;-12.038146;2561.00687;315.84493;1954.48665;693.52739;-;5524.86584;337.19846;95;9;35;0;10;15;-;-;2;2;-;-;-;2;-;-;0;0;0;0;0;0;0;0;0;0;0;3617;44;-;-;44;587;420;71;3;118;23;3;73;34;10;-;-;237;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0
